"Date","HourStart","HourEnd","UserId","RegionId","Name","ImWh","ExWh","IndVarh","CapVarh","IndPenalty","CapPenalty"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","Kompresör Özen 250 ","86.1833333333333","0","47.7124166666667","33.4833333333333","55.3615354863663","38.8512860181783"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","Kompresör Özen 90","0","98.7264666666667","0","0","0","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","Kompresör Özen Booster lar","130.083","0.002083333333333","57.8694166666667","0","44.4865329571632","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PE 501 UNILOY","0.282","0","0.596","0.023","211.347517730496","8.15602836879433"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PE 502 UNILOY","34.65","0.001","18.362","0","52.992784992785","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PE 503 BESLIK","0","0","0","0","0","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PE 505 İLAÇ","26.862","0","20.092","0","74.7971111607475","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PE 505 İLAÇ BOŞ","0","0","0","0","0","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PE 506 İLAÇ","0","0.045","0","0","0","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 101 SP25","32.251","0","14.734","0","45.6854051037177","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 102 SP80","0.433","0","0","0.742","0","171.362586605081"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 103 SP80","29.668","0","14.813","0","49.9292166644196","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 104 SP80","0.210603550295858","0","0.071431952662722","0","33.9177343223196","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 141","38.4655","0","21.91325","0","56.9685822360297","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 162 YENİ","19.73725","11.222","14.53975","0","73.6665442247527","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 163 YENİ","0","0.000223140495868","0","0","0","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 164","38.934","0","0.006","15.062","0.015410695022346","38.685981404428"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 165","0.816","0","0.054","0.002","6.61764705882353","0.245098039215686"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 181 YENİ","0","0.001","0","0","0","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET 182 YENİ","43.40175","0","22.73825","0","52.3901685991924","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET ŞİŞİRME 401","0","12.10975","0","0","0","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET ŞİŞİRME 402 YENİ","9.194","6.804","0","1.109","0","12.0622144877094"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET ŞİŞİRME 404","0","0","0","0","0","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","PET ŞİŞİRME 405 YENİ","0.25025","0","0.3005","0","120.07992007992","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","Plener2 YENİ","12.081","24.341","9.307","0","77.0383246419998","0"
"2026-06-16","2026-06-16 00:00:00","2026-06-16 01:00:00","8","1","Pompalar Termokar Plener","26.16","0","16.84","0","64.3730886850153","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","1 Kule Pompa","4.06149426485923","7.09863503649635","16.7567226277372","0.01781126173097","412.575311818593","0.438539625306774"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","2 Çiller Pompa","64.6572982273201","0.001","29.4367017726799","0","45.5272685060041","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","ANA GİRİŞ","704.81654535975","0.003937434827946","3.41752137643378","4.96980500521376","0.484880980580475","0.705120366134012"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Çiller Plener","0","92.8947028154327","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Çiller Termokar 1 TERMOKONVEKTÖR","17.0768352450469","18.3573159541189","0","30.9039197080292","0","180.969829974748"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Çiller Termokar 2","15.9107445255474","33.1206569343066","7.96055891553702","0","50.0325984290362","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Çiller Termokar 3","0","0","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 171","0.023581108829569","0.000024640657084","0.000443531827515","0.000443531827515","1.88087774294671","1.88087774294671"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 172","19.063","0","2.65975","0.484","13.952420920107","2.53894979803808"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 173","24.1815","0.001","5.26975","0.04675","21.792485991357","0.19332961147985"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 174","27.082","0","4.574","0.029","16.8894468650764","0.107082194815745"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 175","26.821","0.001","4.681","0.087","17.4527422542038","0.324372693039037"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 176 YENİ","0","27.78","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 177 YENİ","2.493","14.107","6.449","0","258.684316085038","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 178 YENİ","23.609","0","3.67","0.134","15.5449193104325","0.567580160108433"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 179 YENİ","7.804","7.198","2.512","0.054","32.1886212198872","0.691952844695028"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","DPH70 271 YENİ","8.128","0","0","12.059","0","148.363681102362"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","ENJEKSİYON 206","1.867","0.001","0","2.589","0","138.671665773969"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","ENJEKSİYON 207","4.989","0","0","3.738","0","74.9248346361996"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","ENJEKSİYON 208","0","0","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","ENJEKSİYON 209","0","0","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","ENJEKSİYON 210 YENİ","0","8.55622314911366","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","ENJEKSİYON 212","4.416","0","0","7.359","0","166.64402173913"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","ENJEKSİYON 213","2.00938586768272","0.00335954277797","0.000002597852442","2.16546795981988","0.000129285891961","107.767651532115"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","ENJEKSİYON 301","6.47425","0.001","1.23175","0.638","19.025369733946","9.85442329227324"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","KALIPHANE","0.167996871741397","0.049124087591241","0","0.135559958289885","0","80.6919538945683"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Karıştırıcı","13.4620583941606","0","0.330120959332638","0.584865484880083","2.45223241251007","4.3445472286302"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Kırma","0.13862252346194","0.056061522419187","0.154497393117831","0","111.451868902278","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","KOLONYA 131","18.78625","0","13.018","0","69.2953622995542","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","KOLONYA 132","9.41025","8.6495","13.3825","0.00375","142.211949735661","0.03985016338567"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","KOLONYA 133 BOŞ","0","0","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","KOLONYA 134","14.222","0","8.813","0","61.9673744902264","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","KOLONYA 135","15.66525","0.00075","10.91575","0","69.6813009687046","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","KOLONYA 138","13.042","0","3.304","0.19","25.3335378009508","1.45683177426775"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Kompresör Atlas Com 2","145.252947275808","0","70.684990419708","0","48.663377745782","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Kompresör Özen 150 ","36.627889468196","36.3609562043796","35.4679708029197","27.0612367049009","96.8332364159734","73.8815069549617"
