scope,sheet,row_number,machine_code,agiz_mm,gramaj_gr,source_column,cycle_value,included_in_group_stats,parse_status,product_text
schema_match_best_sheet,PROSES ENJEKSİYON,15,138,62,26,K,3,yes,ok,PET0310-01 310ML SEFFAF SEFFAF 62MM YIVLI 26GR
schema_match_best_sheet,PROSES ENJEKSİYON,15,138,62,26,L,12.85,yes,ok,PET0310-01 310ML SEFFAF SEFFAF 62MM YIVLI 26GR
schema_match_best_sheet,PROSES ENJEKSİYON,16,202,20,1,J,24,yes,ok,ENJ0029-04 TIPA OPAK BEYAZ 20MM YIVLI 1GR
schema_match_best_sheet,PROSES ENJEKSİYON,16,202,20,1,K,24,yes,ok,ENJ0029-04 TIPA OPAK BEYAZ 20MM YIVLI 1GR
schema_match_best_sheet,PROSES ENJEKSİYON,16,202,20,1,L,212,yes,ok,ENJ0029-04 TIPA OPAK BEYAZ 20MM YIVLI 1GR
schema_match_best_sheet,PROSES ENJEKSİYON,17,203,45,5.5,J,4,yes,ok,"ENJ0065-01 KULP OPAK SİYAH 45MM 5,5GR"
schema_match_best_sheet,PROSES ENJEKSİYON,17,203,45,5.5,K,4,yes,ok,"ENJ0065-01 KULP OPAK SİYAH 45MM 5,5GR"
schema_match_best_sheet,PROSES ENJEKSİYON,17,203,45,5.5,L,16.1,yes,ok,"ENJ0065-01 KULP OPAK SİYAH 45MM 5,5GR"
schema_match_best_sheet,PROSES ENJEKSİYON,18,204,28,1,J,24,yes,ok,ENJ0035-02 TIPA SEFFAF 28MM YIVLI 1GR ( KOLONYA )
schema_match_best_sheet,PROSES ENJEKSİYON,18,204,28,1,K,24,yes,ok,ENJ0035-02 TIPA SEFFAF 28MM YIVLI 1GR ( KOLONYA )
schema_match_best_sheet,PROSES ENJEKSİYON,18,204,28,1,L,25.5,yes,ok,ENJ0035-02 TIPA SEFFAF 28MM YIVLI 1GR ( KOLONYA )
schema_match_best_sheet,PROSES ENJEKSİYON,19,205,24,3,J,12,yes,ok,ENJ0031-04 KAPAK OPAK YESIL 24MM YIVLI 3GR
schema_match_best_sheet,PROSES ENJEKSİYON,19,205,24,3,K,12,yes,ok,ENJ0031-04 KAPAK OPAK YESIL 24MM YIVLI 3GR
schema_match_best_sheet,PROSES ENJEKSİYON,19,205,24,3,L,26.9,yes,ok,ENJ0031-04 KAPAK OPAK YESIL 24MM YIVLI 3GR
schema_match_best_sheet,PROSES ENJEKSİYON,20,206,45,10,J,8,yes,ok,ENJ0010-03 FLIPTOP OPAK SIYAH 45MM YIVLI 10GR
schema_match_best_sheet,PROSES ENJEKSİYON,20,206,45,10,K,6,yes,ok,ENJ0010-03 FLIPTOP OPAK SIYAH 45MM YIVLI 10GR
schema_match_best_sheet,PROSES ENJEKSİYON,20,206,45,10,L,33.2,yes,ok,ENJ0010-03 FLIPTOP OPAK SIYAH 45MM YIVLI 10GR
schema_match_best_sheet,PROSES ENJEKSİYON,21,207,28,10,J,12,yes,ok,ENJ0038-10 KAPAK OPAK KIRMIZI 28MM YIVLI 10GR
schema_match_best_sheet,PROSES ENJEKSİYON,21,207,28,10,K,9,yes,ok,ENJ0038-10 KAPAK OPAK KIRMIZI 28MM YIVLI 10GR
schema_match_best_sheet,PROSES ENJEKSİYON,21,207,28,10,L,27.85,yes,ok,ENJ0038-10 KAPAK OPAK KIRMIZI 28MM YIVLI 10GR
