scope,sheet,row_number,machine_code,product_text,agiz_mm,gramaj_gr,raw_F,raw_G,raw_J,raw_K,raw_L,numeric_J,numeric_K,numeric_L,parse_status
schema_match_best_sheet,PROSES ENJEKSİYON,25,301,PRE0002 62MM 8 GOZ PREFORM 43GR SEFFAF SEFFAF KOLI STANDART,62,43,301,PRE0002 62MM 8 GOZ PREFORM 43GR SEFFAF SEFFAF KOLI STANDART,8,8,36.7,8,8,36.7,ok
schema_match_best_sheet,PROSES ENJEKSİYON,26,303,PRE0010 100MM 45GR TWIST OFF OPAK SIYAH PREFORM KOLI STANDART 8GÖZ,100,45,303,PRE0010 100MM 45GR TWIST OFF OPAK SIYAH PREFORM KOLI STANDART 8GÖZ,8,8,34.2,8,8,34.2,ok
schema_match_best_sheet,PROSES ENJEKSİYON,27,102,PET0016-01 1500ML SEFFAF SEFFAF 28MM YIVLI 52GR,28,52,102,PET0016-01 1500ML SEFFAF SEFFAF 28MM YIVLI 52GR,5,4,18.56,5,4,18.56,ok
schema_match_best_sheet,PROSES ENJEKSİYON,28,103,PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR,28,40,103,PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR,5,5,15.94,5,5,15.94,ok
schema_match_best_sheet,PROSES ENJEKSİYON,29,104,PET0025-01 400ML SEFFAF SEFFAF 28MM YIVLI 25GR,28,25,104,PET0025-01 400ML SEFFAF SEFFAF 28MM YIVLI 25GR,6,5,13.28,6,5,13.28,ok
schema_match_best_sheet,PROSES ENJEKSİYON,30,164,PET0024-01 1000ML SEFFAF SEFFAF 28MM YIVLI 45GR,28,45,164,PET0024-01 1000ML SEFFAF SEFFAF 28MM YIVLI 45GR,6,6,21.59,6,6,21.59,ok
schema_match_best_sheet,PROSES ENJEKSİYON,31,182,PET0165-04 450ML SEFFAF MAVI 28MM YIVLI 26GR,28,26,182,PET0165-04 450ML SEFFAF MAVI 28MM YIVLI 26GR,8,8,16,8,8,16,ok
schema_match_best_sheet,PROSES ENJEKSİYON,32,172,PET0129-01 750ML SEFFAF MAVI 28MM YIVLI 45GR,28,45,172,PET0129-01 750ML SEFFAF MAVI 28MM YIVLI 45GR,4,4,16.06,4,4,16.06,ok
schema_match_best_sheet,PROSES ENJEKSİYON,33,173,PET0019-01 650ML SEFFAF UV 28MM CAKMA 40GR,28,40,173,PET0019-01 650ML SEFFAF UV 28MM CAKMA 40GR,5,5,17.16,5,5,17.16,ok
schema_match_best_sheet,PROSES ENJEKSİYON,34,174,PET0239-01 1000ML SEFFAF SEFFAF 110MM YIVLI 95GR,110,95,174,PET0239-01 1000ML SEFFAF SEFFAF 110MM YIVLI 95GR,3,3,18.19,3,3,18.19,ok
schema_match_best_sheet,PROSES ENJEKSİYON,35,175,PET0238-01 450ML SEFFAF UV 28MM CAKMA 35GR,28,35,175,PET0238-01 450ML SEFFAF UV 28MM CAKMA 35GR,5,5,14.42,5,5,14.42,ok
schema_match_best_sheet,PROSES ENJEKSİYON,36,176,PET0015-02 1000ML OPAK YESIL 28MM YIVLI 52GR,28,52,176,PET0015-02 1000ML OPAK YESIL 28MM YIVLI 52GR,5,5,17.81,5,5,17.81,ok
schema_match_best_sheet,PROSES ENJEKSİYON,37,177,PET0015-03 1000ML OPAK BEYAZ 28MM YIVLI 52GR,28,52,177,PET0015-03 1000ML OPAK BEYAZ 28MM YIVLI 52GR,4,4,18.74,4,4,18.74,ok
schema_match_best_sheet,PROSES ENJEKSİYON,38,135,PET0145-01 150ML SEFFAF KAHVE 38MM YIVLI 25GR,38,25,135,PET0145-01 150ML SEFFAF KAHVE 38MM YIVLI 25GR,2,2,20.47,2,2,20.47,ok
schema_match_best_sheet,PROSES ENJEKSİYON,39,138,PET0312-01 370ML SEFFAF SEFFAF 62MM YIVLI 26GR,62,26,138,PET0312-01 370ML SEFFAF SEFFAF 62MM YIVLI 26GR,3,3,12.72,3,3,12.72,ok
schema_match_best_sheet,PROSES ENJEKSİYON,40,401,BLW0015-01 1000ML SEFFAF SEFFAF 90MM YIVLI 60GR (KAPAK+SISE),90,60,401,BLW0015-01 1000ML SEFFAF SEFFAF 90MM YIVLI 60GR (KAPAK+SISE),1,1,9.08,1,1,9.08,ok
schema_match_best_sheet,PROSES ENJEKSİYON,41,202,ENJ0029-04 TIPA OPAK BEYAZ 20MM YIVLI 1GR,20,1,202,ENJ0029-04 TIPA OPAK BEYAZ 20MM YIVLI 1GR,24,22,21.1,24,22,21.1,ok
